,PanE
952,0.2983471074380165
786,0.2256198347107438
414,0.5628099173553719
251,0.5033057851239671
69,0.4504132231404959
803,0.2785123966942149
131,0.4636363636363637
300,0.3842975206611571
1009,0.2785123966942149
326,0.4570247933884298
1419,0.2057851239669421
1098,0.3446280991735537
499,0.4173553719008265
1166,0.4570247933884298
832,0.5628099173553719
364,0.4900826446280992
495,0.1991735537190082
1352,0.3115702479338843
338,0.5231404958677686
421,0.1925619834710744
164,0.2917355371900826
28,0.5694214876033058
516,0.4041322314049587
193,0.3380165289256198
918,0.5033057851239671
1319,0.5231404958677686
1318,0.2322314049586777
169,0.4107438016528926
167,0.3314049586776859
652,0.5363636363636364
173,0.8074380165289256
518,0.271900826446281
1174,0.4570247933884298
1164,0.4504132231404959
491,0.3776859504132231
73,0.4768595041322314
1212,0.4107438016528926
587,0.2785123966942149
750,0.2454545454545454
657,0.3049586776859504
842,0.4107438016528926
234,0.4305785123966942
732,0.443801652892562
214,0.3314049586776859
162,0.3181818181818182
132,0.390909090909091
1070,0.3181818181818182
222,0.3842975206611571
1187,0.5429752066115702
185,0.5892561983471074
41,0.3644628099173553
692,0.2785123966942149
108,0.2983471074380165
38,0.3181818181818182
568,0.3512396694214876
938,0.3049586776859504
1226,0.2652892561983471
1440,0.2520661157024793
483,0.6024793388429752
468,0.3049586776859504
890,0.4768595041322314
24,0.2322314049586777
953,0.3049586776859504
983,0.2256198347107438
68,0.390909090909091
884,0.2454545454545454
1244,0.2388429752066116
366,0.3446280991735537
505,0.5033057851239671
850,0.2057851239669421
1274,0.2454545454545454
383,0.2520661157024793
734,0.2983471074380165
717,0.1991735537190082
1293,0.3842975206611571
454,0.3578512396694215
264,0.5429752066115702
75,0.4107438016528926
914,0.3710743801652892
232,0.6950413223140496
444,0.1991735537190082
395,0.3181818181818182
611,0.3446280991735537
176,0.4966942148760331
18,0.4636363636363637
1270,0.3049586776859504
1024,0.3247933884297521
341,0.3115702479338843
994,0.390909090909091
879,0.3049586776859504
595,0.3512396694214876
61,0.2322314049586777
1220,0.3181818181818182
272,0.4305785123966942
1169,0.4041322314049587
872,0.2520661157024793
1084,0.3842975206611571
1394,0.6024793388429752
278,0.212396694214876
1121,0.3975206611570249
694,0.1925619834710744
368,0.2190082644628099
1338,0.4900826446280992
36,0.4702479338842976
735,0.4041322314049587
1290,0.4636363636363637
662,0.2520661157024793
1278,0.1396694214876033
1309,0.443801652892562
977,0.5628099173553719
547,0.3644628099173553
1208,0.2454545454545454
688,0.4966942148760331
738,0.1991735537190082
191,0.3710743801652892
919,0.2652892561983471
456,0.3975206611570249
868,0.2785123966942149
393,0.3842975206611571
675,0.3975206611570249
760,0.5165289256198347
1429,0.556198347107438
728,0.2983471074380165
419,0.2388429752066116
375,0.3181818181818182
412,0.3710743801652892
74,0.5033057851239671
1359,0.1727272727272727
1134,0.2322314049586777
500,0.2322314049586777
825,0.1859504132231405
195,0.4636363636363637
1119,0.2322314049586777
616,0.2983471074380165
114,0.5363636363636364
417,0.9
601,0.271900826446281
969,0.3842975206611571
921,0.2454545454545454
604,0.3115702479338843
1389,0.3644628099173553
89,0.2388429752066116
848,0.3842975206611571
1108,0.3975206611570249
1388,0.5297520661157025
753,0.443801652892562
498,0.3181818181818182
1142,0.4305785123966942
1395,0.443801652892562
1150,0.1264462809917355
1148,0.1661157024793388
11,0.4305785123966942
396,0.3380165289256198
284,0.3181818181818182
690,0.4966942148760331
1190,0.2983471074380165
1360,0.4173553719008265
689,0.2454545454545454
851,0.3578512396694215
159,0.4371900826446281
895,0.4371900826446281
1151,0.2256198347107438
257,0.1859504132231405
335,0.3776859504132231
1364,0.2388429752066116
515,0.3578512396694215
1015,0.5165289256198347
768,0.5231404958677686
1371,0.4041322314049587
761,0.2388429752066116
1068,0.5826446280991736
521,0.556198347107438
22,0.2454545454545454
356,0.4107438016528926
1231,0.5165289256198347
340,0.2983471074380165
431,0.1727272727272727
473,0.3644628099173553
217,0.4636363636363637
911,0.2057851239669421
1165,0.4768595041322314
1011,0.3049586776859504
1413,0.1793388429752066
93,0.2520661157024793
1008,0.3842975206611571
696,0.5363636363636364
996,0.5363636363636364
153,0.5165289256198347
1259,0.4107438016528926
1450,0.271900826446281
789,0.2256198347107438
580,0.4504132231404959
703,0.3115702479338843
1218,0.615702479338843
487,0.2190082644628099
559,0.3247933884297521
801,0.2851239669421487
512,0.3115702479338843
633,0.2322314049586777
1295,0.5231404958677686
790,0.390909090909091
116,0.2322314049586777
740,0.3776859504132231
830,0.4834710743801653
119,0.4570247933884298
656,0.3115702479338843
635,0.5429752066115702
369,0.3247933884297521
268,0.4107438016528926
655,0.2652892561983471
935,0.3181818181818182
822,0.5694214876033058
866,0.152892561983471
46,0.2652892561983471
1250,0.4570247933884298
991,0.4966942148760331
876,0.4966942148760331
773,0.2256198347107438
4,0.4768595041322314
1003,0.2256198347107438
1261,0.5033057851239671
263,0.3314049586776859
1145,0.1793388429752066
1327,0.4239669421487604
443,0.4371900826446281
1002,0.3710743801652892
1077,0.2851239669421487
837,0.5033057851239671
1404,0.271900826446281
304,0.3710743801652892
1273,0.3314049586776859
313,0.2785123966942149
149,0.3776859504132231
574,0.5297520661157025
50,0.5429752066115702
1133,0.3380165289256198
726,0.271900826446281
833,0.1661157024793388
470,0.2520661157024793
971,0.4371900826446281
653,0.3710743801652892
399,0.5231404958677686
511,0.2190082644628099
320,0.3710743801652892
19,0.2520661157024793
684,0.5099173553719009
35,0.3776859504132231
902,0.5958677685950414
827,0.3446280991735537
1302,0.3776859504132231
407,0.5760330578512397
920,0.3181818181818182
537,0.4239669421487604
758,0.1727272727272727
1062,0.2190082644628099
245,0.212396694214876
1127,0.2454545454545454
784,0.3578512396694215
489,0.3776859504132231
154,0.443801652892562
961,0.3975206611570249
853,0.2256198347107438
625,0.2190082644628099
685,0.4041322314049587
569,0.1793388429752066
1383,0.3842975206611571
17,0.3380165289256198
127,0.3776859504132231
927,0.2983471074380165
980,0.5099173553719009
1424,0.3446280991735537
190,0.3842975206611571
1139,0.4768595041322314
992,0.2520661157024793
1418,0.4371900826446281
1211,0.3446280991735537
606,0.2586776859504132
180,0.4107438016528926
301,0.3181818181818182
496,0.3181818181818182
1251,0.4173553719008265
1431,0.2851239669421487
1197,0.4900826446280992
517,0.3776859504132231
1069,0.2057851239669421
476,0.2520661157024793
157,0.4305785123966942
16,0.4371900826446281
1072,0.1462809917355372
546,0.4173553719008265
658,0.2851239669421487
1191,0.6884297520661157
1019,0.4702479338842976
1216,0.212396694214876
959,0.3842975206611571
1366,0.3578512396694215
283,0.2652892561983471
797,0.3578512396694215
225,0.2652892561983471
26,0.4504132231404959
437,0.3247933884297521
1412,0.3446280991735537
229,0.212396694214876
37,0.5231404958677686
749,0.3710743801652892
1045,0.3644628099173553
469,0.3049586776859504
1443,0.3380165289256198
1427,0.3380165289256198
687,0.3578512396694215
1336,0.1793388429752066
639,0.1925619834710744
1291,0.4041322314049587
1158,0.390909090909091
1210,0.2256198347107438
1321,0.3247933884297521
800,0.2454545454545454
160,0.4570247933884298
956,0.4636363636363637
1186,0.2190082644628099
821,0.3644628099173553
1230,0.2983471074380165
877,0.4173553719008265
913,0.3115702479338843
152,0.2983471074380165
1331,0.3842975206611571
509,0.390909090909091
1135,0.2388429752066116
1217,0.3578512396694215
103,0.4768595041322314
586,0.3247933884297521
1287,0.4041322314049587
1143,0.4173553719008265
53,0.556198347107438
151,0.2454545454545454
403,0.3578512396694215
1409,0.2652892561983471
207,0.4966942148760331
1374,0.4900826446280992
1122,0.271900826446281
8,0.5231404958677686
1014,0.1462809917355372
1301,0.4239669421487604
1060,0.4305785123966942
452,0.3975206611570249
253,0.2652892561983471
896,0.2851239669421487
1268,0.4041322314049587
880,0.6024793388429752
1370,0.4305785123966942
623,0.5297520661157025
345,0.2851239669421487
1246,0.2586776859504132
262,0.4041322314049587
150,0.212396694214876
472,0.4239669421487604
640,0.5231404958677686
1438,0.4570247933884298
1367,0.3512396694214876
550,0.4041322314049587
928,0.2520661157024793
488,0.212396694214876
1314,0.3578512396694215
1171,0.3181818181818182
146,0.5099173553719009
402,0.271900826446281
954,0.2057851239669421
1362,0.1925619834710744
659,0.4504132231404959
463,0.212396694214876
186,0.5165289256198347
1147,0.1991735537190082
1224,0.2851239669421487
608,0.3380165289256198
143,0.3975206611570249
751,0.4504132231404959
981,0.5165289256198347
197,0.5892561983471074
883,0.3380165289256198
279,0.2322314049586777
293,0.2652892561983471
1322,0.2652892561983471
400,0.3181818181818182
122,0.3776859504132231
1207,0.4966942148760331
202,0.5694214876033058
835,0.5033057851239671
246,0.3247933884297521
1379,0.5297520661157025
1365,0.4107438016528926
1153,0.4305785123966942
384,0.3181818181818182
1281,0.2983471074380165
854,0.3247933884297521
219,0.1462809917355372
641,0.443801652892562
1,0.3578512396694215
112,0.556198347107438
698,0.3578512396694215
1386,0.2851239669421487
951,0.3776859504132231
1276,0.4107438016528926
1311,0.4041322314049587
441,0.5363636363636364
1136,0.2190082644628099
1256,0.3049586776859504
663,0.4768595041322314
1330,0.4239669421487604
1257,0.2652892561983471
1289,0.5628099173553719
317,0.5892561983471074
648,0.5495867768595042
709,0.2057851239669421
1282,0.390909090909091
972,0.4834710743801653
627,0.4371900826446281
632,0.390909090909091
1248,0.2256198347107438
1416,0.152892561983471
1254,0.390909090909091
1341,0.5099173553719009
795,0.3115702479338843
645,0.2388429752066116
1012,0.2652892561983471
556,0.4371900826446281
681,0.2388429752066116
577,0.2983471074380165
1109,0.2454545454545454
1266,0.1595041322314049
1183,0.1
524,0.2454545454545454
1059,0.2388429752066116
540,0.5033057851239671
1194,0.3512396694214876
748,0.3247933884297521
1344,0.3975206611570249
484,0.212396694214876
95,0.4041322314049587
1020,0.3710743801652892
563,0.3314049586776859
1264,0.3512396694214876
742,0.3181818181818182
863,0.390909090909091
891,0.1661157024793388
1038,0.4107438016528926
206,0.2190082644628099
392,0.1991735537190082
794,0.390909090909091
870,0.2256198347107438
397,0.1793388429752066
766,0.2785123966942149
1334,0.4636363636363637
1241,0.5099173553719009
1028,0.2851239669421487
642,0.390909090909091
612,0.4966942148760331
960,0.4305785123966942
725,0.1925619834710744
683,0.2322314049586777
98,0.2388429752066116
804,0.2851239669421487
406,0.3446280991735537
502,0.4966942148760331
1071,0.4834710743801653
1056,0.5231404958677686
929,0.4173553719008265
779,0.4371900826446281
200,0.3446280991735537
134,0.2388429752066116
1051,0.4041322314049587
40,0.5033057851239671
1017,0.2190082644628099
230,0.3115702479338843
378,0.3512396694214876
288,0.4966942148760331
418,0.3380165289256198
391,0.5429752066115702
592,0.443801652892562
1162,0.4702479338842976
1086,0.3049586776859504
647,0.3314049586776859
1152,0.4107438016528926
520,0.3247933884297521
64,0.5958677685950414
14,0.2454545454545454
1180,0.2586776859504132
1064,0.3710743801652892
492,0.5231404958677686
379,0.4834710743801653
187,0.1462809917355372
763,0.4173553719008265
216,0.3578512396694215
791,0.1859504132231405
1076,0.5099173553719009
878,0.4702479338842976
337,0.3578512396694215
719,0.3049586776859504
295,0.443801652892562
1016,0.5628099173553719
1275,0.2454545454545454
455,0.3314049586776859
1449,0.2388429752066116
815,0.3181818181818182
269,0.4504132231404959
995,0.4107438016528926
201,0.4504132231404959
161,0.3247933884297521
729,0.2917355371900826
401,0.4239669421487604
702,0.2851239669421487
1129,0.390909090909091
565,0.2652892561983471
1021,0.3314049586776859
1025,0.3446280991735537
1104,0.556198347107438
205,0.390909090909091
34,0.3314049586776859
775,0.2917355371900826
508,0.3314049586776859
1430,0.3975206611570249
1390,0.6355371900826448
91,0.4570247933884298
1363,0.2785123966942149
897,0.3181818181818182
564,0.2520661157024793
1369,0.2586776859504132
776,0.4371900826446281
241,0.5165289256198347
13,0.2652892561983471
315,0.4371900826446281
600,0.2057851239669421
387,0.2190082644628099
1297,0.5033057851239671
166,0.4570247933884298
840,0.3776859504132231
20,0.4768595041322314
646,0.3049586776859504
1154,0.4239669421487604
831,0.3049586776859504
1267,0.3115702479338843
562,0.5694214876033058
1415,0.4702479338842976
686,0.4702479338842976
957,0.1991735537190082
189,0.3578512396694215
975,0.4305785123966942
699,0.5495867768595042
510,0.2652892561983471
1082,0.5760330578512397
474,0.4636363636363637
856,0.4768595041322314
747,0.1727272727272727
252,0.4636363636363637
21,0.3247933884297521
1337,0.2520661157024793
459,0.3446280991735537
1184,0.1661157024793388
276,0.5297520661157025
955,0.2454545454545454
1215,0.3446280991735537
385,0.271900826446281
805,0.5363636363636364
343,0.2785123966942149
769,0.4173553719008265
1332,0.2057851239669421
130,0.2785123966942149
871,0.3710743801652892
1123,0.3842975206611571
1396,0.4239669421487604
87,0.2388429752066116
330,0.3578512396694215
1238,0.3181818181818182
466,0.212396694214876
121,0.3181818181818182
1044,0.2322314049586777
1095,0.4636363636363637
1130,0.4570247933884298
1294,0.2190082644628099
860,0.3512396694214876
1126,0.3644628099173553
